NCAR From: https://www.top500.org/site/48418/,,,,,,
Year,Machine,Cores,Rmax,RPeak,,
,,,GFLOPs,GFLOPs,,
2016,"Cheyenne - SGI ICE XA, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR","144,900","4,788,190","5,332,320",,
2012,"Yellowstone - iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","72,288","1,257,615","1,503,590",,
2008,"bluefire - Power 575, p6 4.7 GHz, Infiniband","4,064","59,684.1","76,403.2",,
2006,blueice - eServer pSeries p5 575 1.9 GHz,"1,696","11,080.0","12,889.6",,
2005,eServer Blue Gene Solution,"2,048","4,713","5,734",,
2003,pSeries 690 Turbo 1.3 GHz,"1,600","4,184","8,320",,
2005,eServer pSeries p5 575 1.9 GHz,608,"4,031","4,620.8",,
2002,pSeries 690 Turbo 1.3GHz,"1,216","3,164","6,323",,
2001,SP Power3 375 MHz 16 way,"1,260","1,382","1,890",,
2004,eServer Opteron 2.2 GHz. Myrinet,256,769.4,"1,126.4",,
2000,SP Power3 375 MHz,668,688,"1,002",,
1999,SP Power3 200 MHz,288,166.6,230.4,,
1998,ORIGIN 2000 250 MHz,128,51.4,64,,
1998,AlphaServer 4100 Cluster,32,18.0,39.2,,
1997,T3D MCA128-8,128,12.8,19.2,,
1997,Exemplar X-Class,16,7.8,11.5,,
1997,Exemplar X-Class,16,7.8,11.5,,
1994,T3D MCA64-8,64,6.4,9.6,,
1995,POWER CHALLENGE,16,3.7,4.8,,
1995,Y-MP J932/20-4096,20,3.6,4,,
1995,Y-MP J916/16-2048,16,2.2,3.2,,
1990,Y-MP8/864,8,2.1,2.7,,
1995,Y-MP8I/864,8,2.1,2.7,,
1993,CM-5/32,32,1.9,4.1,,
1994,CRAY-3/2-128,2,1.6,1.9,,
1994,Y-MP8I/564,5,1.4,1.7,,
1993,9076-001 SP1,8,0.7,1,,
1993,Y-MP2,2,0.6,0.7,,